Time [s],Packet ID,MOSI,MISO
4.4892015,13745,0x3,0x0
4.48921575,13745,0x8,0x0
4.4892355,13746,0xD,0x0
4.490219,13747,0xD,0x0
4.491202,13748,0xA,0x0
4.49122275,13749,0x0,0x0
4.4912375,13749,0xF,0x0
4.49125425,13749,0x8,0x0
4.491269,13749,0x8,0x0
4.49128875,13750,0xD,0x0
4.4922715,13751,0xD,0x0
4.49327675,13752,0xA,0x0
4.493297,13753,0x0,0x0
4.49331175,13753,0xF,0x0
4.49332875,13753,0x3,0x0
4.493343,13753,0x8,0x0
4.49336275,13754,0xD,0x0
4.49434575,13755,0xD,0x0
4.49532925,13756,0xA,0x0
4.49535025,13757,0x0,0x0
4.495365,13757,0xF,0x0
4.4953815,13757,0x8,0x0
4.4953965,13757,0x8,0x0
4.495416,13758,0xD,0x0
4.496399,13759,0xD,0x0
4.497395,13760,0xA,0x0
4.49741325,13761,0xE,0x0
4.4974315,13762,0x0,0x0
4.49744675,13762,0x5,0x0
4.4974635,13762,0xA,0x0
4.4974785,13762,0x5,0x0
4.4974955,13762,0xF,0x0
4.49750975,13762,0x6,0x0
4.49752725,13762,0x0,0x0
4.49754225,13762,0x0,0x0
4.49756575,13762,0x7,0x0
4.49757975,13762,0xD,0x0
4.49760075,13762,0x7,0x0
4.49761475,13762,0x9,0x0
4.49763575,13762,0x0,0x0
4.497651,13762,0x0,0x0
4.49767225,13762,0xF,0x0
4.49768675,13762,0x0,0x0
4.49770425,13762,0x5,0x0
4.49771875,13762,0x5,0x0
4.49774925,13763,0xA,0x0
4.49776975,13764,0x0,0x0
4.4977845,13764,0xF,0x0
4.49780125,13764,0x3,0x0
4.49781575,13764,0x8,0x0
4.49783525,13765,0xD,0x0
4.49881875,13766,0xD,0x0
4.49980175,13767,0xA,0x0
4.49982275,13768,0x0,0x0
4.4998375,13768,0xF,0x0
4.499854,13768,0x8,0x0
4.499869,13768,0x8,0x0
4.4998885,13769,0xD,0x0
4.500871,13770,0xD,0x0
4.5018915,13771,0xA,0x0
